date,bitcoin_mcap,ethereum_mcap,binancecoin_mcap,ripple_mcap,total_mcap,btc_dominance
2013-04-30,1501657493.0,,,,1592765051.0,94.27991228569466
2013-05-31,1436386730.0,,,,1501246629.0,95.67959735948223
2013-06-30,1082693996.0,,,,1144211142.0,94.6236193878979
2013-07-31,1267183179.0,,,,1339436875.0,94.60566620580757
2013-08-31,1602407100.0,,,45838868.0,1718392921.0,93.25033177321848
2013-09-30,1549941780.0,,,86316539.0,1700443527.0,91.14926519991393
2013-10-31,2432069229.0,,,46886543.0,2549295491.0,95.40162125521134
2013-11-30,13593664650.0,,,279696734.0,15218504256.0,89.32326345173249
2013-12-31,9205343763.0,,,214508042.0,10444532541.0,88.135526667799
2014-01-31,10087796517.0,,,158993206.0,11276779717.0,89.45635873149513
2014-02-28,7065922360.0,,,110457401.0,8035162200.0,87.93751991714616
2014-03-31,5756309240.0,,,70810068.0,7080284651.0,81.30053414147686
2014-04-30,5690810165.0,,,41935004.0,6704999838.0,84.87412829971794
2014-05-31,8007248676.0,,,32409218.0,9447775297.0,84.7527425693812
2014-06-30,8269625590.124999,,,29543801.19701299,9025562070.474195,91.62449413735537
2014-07-31,7630850376.333778,,,42979544.325816,8140456540.3987,93.73983312193984
2014-08-31,6342575501.242498,,,141931379.1726721,6860475510.057145,92.45096046104342
2014-09-30,5164012591.079999,,,134915980.12042794,5714895288.777052,90.36058108048138
2014-10-31,4526519245.630091,,,141061701.60421202,4986831200.741079,90.76944984537309
2014-11-30,5104546200.8,,,346674152.501508,5801993056.991794,87.97918492247551
2014-12-31,4338943850.325,,,753944394.2176,5538840020.797433,78.33668844077424
2015-01-31,3005342178.85,,,446363085.5568,3700358256.7336774,81.2176003061614
2015-02-28,3522504178.955,,,415608884.420675,4189045099.8304853,84.08847589388671
2015-03-31,3403299617.6200013,,,282996944.0251029,3911732507.9841566,87.00236048026282
2015-04-30,3333116826.64,,,256139195.12071264,3785364737.4918537,88.05272563638059
2015-05-31,3266430207.375,,,263140957.97488913,3767965624.079381,86.68949064982725
2015-06-30,3760650012.699992,,,363004527.032343,4508934979.616722,83.40439659699113
2015-07-31,4090154891.219836,,,269282717.06170905,5060129531.3618355,80.83103141668096
2015-08-31,3350144206.29,98608290.53954794,,256023643.13257545,3986773217.1141467,84.03147166507317
2015-09-30,3463401139.065,54065419.507539704,,179075219.316032,3985075673.1984777,86.90929415363462
2015-10-31,4617510889.9075,67453442.47710526,,155436320.36990404,5147427317.581228,89.70521786944366
2015-11-30,5637217098.625,65624853.97047546,,141058472.35819805,6151393815.748076,91.64129736244911
2015-12-31,6479728151.175,71083912.69961053,,202666749.51511905,7078233082.759169,91.54443030363073
2016-01-31,5520342696.0,176275775.71473008,,217258738.55920497,6244243535.811394,88.40690892884389
2016-02-29,6669535766.075,488620056.2443799,,270340371.81034005,7865078833.117949,84.79935049082019
2016-03-31,6388090244.55,892916961.5825855,,254476202.14176306,8051458204.009449,79.34078626116288
2016-04-30,6938342199.674998,707751631.3173722,,237560313.17460594,8469119797.292234,81.92518662793435
2016-05-31,8293336919.625002,1128785731.519008,,198925816.33071008,10388363220.086067,79.83295100415532
2016-06-30,10556309174.399996,1087390815.1043506,,235616248.905378,12773413407.164125,82.64282097437918
2016-07-31,9847086965.691307,979546056.9825448,,211736619.891048,12208307011.112967,80.65890673233979
2016-08-31,9058256694.850403,960315422.2529753,,213660883.85268,11458980516.656876,79.04941178391255
2016-09-30,9669703048.380001,1114978390.1540408,,314203818.376452,12325072081.134176,78.45554966920872
2016-10-31,11143032475.877998,930359100.1537943,,292385275.497861,13456514839.544357,82.80771513833746
2016-11-30,11890119632.989996,748071852.89044,,241700770.37282798,13971312755.599682,85.10381122364078
2016-12-31,15537921940.53077,700638437.1090508,,235720056.33606297,17913081351.131847,86.74064297457677
2017-01-31,15624634422.4056,944300621.5689718,,233522937.00172797,18367976094.638664,85.06454027325414
2017-02-28,19271383899.146996,1402597198.622161,,205815459.468627,22589765469.596836,85.31024337142415
2017-03-31,17519577833.28675,4511239008.808598,,762510466.3920479,26230125522.01718,66.7918185087642
2017-04-30,22007601314.79,7277893964.101945,,1950579950.355227,37597269132.878944,58.535105932851586
2017-05-31,38113024210.0,21309492258.258083,,9473480643.8658,84229606722.57664,45.24896374683453
2017-06-30,40897674121.940735,26454457715.02758,,10063206459.53874,104490954660.72762,39.13991814385434
2017-07-31,47322548226.26965,19047827948.6107,,6407184440.70573,93370851305.37822,50.682357036134086
2017-08-31,77767841900.02457,36132449087.43318,,9742595064.842054,172574686228.2127,45.06329612976054
2017-09-30,71329258156.47789,28209139740.688995,17191164.68013488,7551129469.702956,145141350095.6428,49.144684205758416
2017-10-31,106082152741.21794,28971625622.98315,127642112.83486268,7736863294.765146,180362194916.782,58.816179737756904
2017-11-30,173903131019.367,43624717838.8218,198350010.167143,9672982025.82372,313099982182.84094,55.54236375453156
2017-12-31,248925602660.692,74906560027.8485,911813027.984858,88326799816.9539,639914808253.7155,38.89980345039885
2018-01-31,168188285150.7701,102965815556.0668,1108659359.8091078,44064612773.22817,497234118866.6663,33.82476760326053
2018-02-28,180884108725.43018,85086932065.08655,1059577325.4479493,37269504972.45771,457445844393.74567,39.542190828109156
2018-03-31,116900853303.24556,38946452754.23128,1035804124.800467,19923193221.81077,266753248047.40903,43.823591337290566
2018-04-30,158592809944.5081,67420561666.31582,1704642241.494217,34082274121.782322,436058444479.18036,36.36962245598253
2018-05-31,125953862789.73985,55406697681.99651,1430349202.2660728,23724171610.712906,328405626116.7502,38.35313794074968
2018-06-30,105857391286.9164,43417851340.14835,1637710573.0015488,17790918835.094063,243433966200.2957,41.35444833896005
2018-07-31,140640772123.99832,46276223652.12072,1295448185.6684406,17555210085.086514,300960053965.3985,46.73071069430625
2018-08-31,121103237785.70247,28983027590.772324,1054126747.2592542,13305408387.628397,231486164386.40115,52.315540372233485
2018-09-30,114265552573.72394,23704835590.94445,1440392829.020447,22791840106.113216,224943289866.8823,50.79749328879488
2018-10-31,109890575608.10541,20319037427.370758,1362381725.6963894,17992858602.574776,207580081767.67432,52.938882513350215
2018-11-30,74400715839.6163,12182154959.33421,771935628.5125525,15301150890.891167,140423518575.67114,52.983087586943924
2018-12-31,66494185030.58888,14310166049.405546,850105601.4329103,14832331451.769978,129803690023.02252,51.22672939328242
2019-01-31,60555372963.791016,11329885765.71566,886231112.9762447,13165745045.173086,115250739101.87712,52.54228600674088
2019-02-28,67155912259.18905,14178777736.552544,1420171312.719949,12872053115.844961,128983029651.27974,52.06569611580119
2019-03-31,72305792937.3489,15005382590.00451,2428819888.2031417,12976136065.589048,145632526215.76035,49.64948065944075
2019-04-30,91885324029.79892,16314567668.36402,3117991943.0339575,12251847495.659832,167663536199.40433,54.80340335928413
2019-05-31,147528939419.42154,27163085813.469257,4597989593.587913,17848092752.66428,262697583904.8381,56.15922964592767
2019-06-30,213020899675.1298,34306768610.59132,5001220258.080438,18219179341.600826,345185758270.2923,61.711960754860314
2019-07-31,170790961770.58182,22459680355.763912,4156576659.296991,13593294984.071028,266147236305.9401,64.1716082199911
2019-08-31,171703455568.1713,18137815999.552658,3451891491.93365,11002156702.48706,249386482171.25653,68.85034588613371
2019-09-30,144886125387.55658,18340364798.35873,2375227666.699408,10326879446.621078,213666064230.99173,67.80961024813092
2019-10-31,165289440818.62827,19844553056.696297,3114274313.691046,12763660332.984507,246161338854.02295,67.1467914450397
2019-11-30,139585890644.02713,16758887510.141882,2479816860.960093,9936151608.056837,209303612789.17642,66.69062649416698
2019-12-31,131377523457.07199,14330460495.39055,2126194408.1383953,8369269616.756703,192319139831.79254,68.31224576606274
2020-01-31,172993102966.37723,20090242968.224346,2847071752.4987006,10605406032.519274,261451630664.90274,66.16638898997688
2020-02-29,159030381910.26715,25137364865.97101,2926158625.653091,10383454661.41943,248752553175.84985,63.9311556323381
2020-03-31,117151628726.53436,14615131244.892355,1843126769.70464,7516283687.083531,178235939534.85168,65.72839856668016
2020-04-30,160483573440.17792,23796586177.48911,2563905019.005386,9970767177.657255,264213264880.04422,60.740165151450384
