date,total_mcap
2013-11-15,5292963981.0
2013-11-16,5459243350.0
2013-11-17,6075555418.0
2013-11-18,7223144025.0
2013-11-19,7668594980.0
2013-11-20,7052490930.0
2013-11-21,8377345407.0
2013-11-22,9152445458.0
2013-11-23,10241144817.0
2013-11-24,9532336608.0
2013-11-25,10006801131.0
2013-11-26,10712575370.0
2013-11-27,12017982103.0
2013-11-28,13213611317.0
2013-11-29,14691148402.0
2013-11-30,15218504256.0
2013-12-01,14043078160.0
2013-12-02,13358177285.0
2013-12-03,14601103161.0
2013-12-04,15365802048.0
2013-12-05,13664150027.0
2013-12-06,13779408345.0
2013-12-07,10916424827.0
2013-12-08,10092380841.0
2013-12-09,12259463075.0
2013-12-10,12786599317.0
2013-12-11,12122644425.0
2013-12-12,12006644079.0
2013-12-13,12250473505.0
2013-12-14,11801562699.0
2013-12-15,11658580515.0
2013-12-16,10680949566.0
2013-12-17,9337605511.0
2013-12-18,7473860999.0
2013-12-19,9052722687.0
2013-12-20,9312426266.0
2013-12-21,8059160000.0
2013-12-22,8740435654.0
2013-12-23,8677507546.0
2013-12-24,8960018372.0
2013-12-25,9170863513.0
2013-12-26,10129867602.0
2013-12-27,10178415561.0
2013-12-28,10036644893.0
2013-12-29,10087263184.0
2013-12-30,10570031868.0
2013-12-31,10444532541.0
2014-01-01,10634031218.0
2014-01-02,10773987789.0
2014-01-03,11433894537.0
2014-01-04,11687774519.0
2014-01-05,12583584779.0
2014-01-06,12913129060.0
2014-01-07,11445983745.0
2014-01-08,11486224357.0
2014-01-09,11670631010.0
2014-01-10,11779888589.0
2014-01-11,12409271940.0
2014-01-12,11899333160.0
2014-01-13,11504679487.0
2014-01-14,11445933777.0
2014-01-15,11789924868.0
2014-01-16,11508991483.0
2014-01-17,11140911084.0
2014-01-18,11516940386.0
2014-01-19,11534051519.0
2014-01-20,11987167652.0
2014-01-21,11900548574.0
2014-01-22,11940952621.0
2014-01-23,11656785130.0
2014-01-24,11084553144.0
2014-01-25,11096066542.0
2014-01-26,11766588527.0
2014-01-27,12218620532.0
2014-01-28,10744450648.0
2014-01-29,11259294763.0
2014-01-30,11234509580.0
2014-01-31,11276779717.0
2014-02-01,11517083071.0
2014-02-02,11562382385.0
2014-02-03,11242788741.0
2014-02-04,11475058601.0
2014-02-05,11429789002.0
2014-02-06,11054383352.0
2014-02-07,9964516310.0
2014-02-08,9697594805.0
2014-02-09,9325513526.0
2014-02-10,9500229662.0
2014-02-11,9671475906.0
2014-02-12,9119852706.0
2014-02-13,9047292692.0
2014-02-14,8690618503.0
2014-02-15,8975073790.0
2014-02-16,8575732555.0
2014-02-17,8971842045.0
2014-02-18,8705687784.0
2014-02-19,8677119187.0
2014-02-20,8284098931.0
2014-02-21,8089411907.0
2014-02-22,7961923474.0
2014-02-23,8699175865.0
2014-02-24,8017602449.0
2014-02-25,6876547488.0
2014-02-26,7927619008.0
2014-02-27,8194961506.0
2014-02-28,8035162200.0
2014-03-01,8027292634.0
2014-03-02,8003876579.0
2014-03-03,8513293207.0
2014-03-04,10373689032.0
2014-03-05,9590231545.0
2014-03-06,9302561599.0
2014-03-07,8815891807.0
2014-03-08,8692800322.0
2014-03-09,9082414178.0
2014-03-10,8949283593.0
2014-03-11,8973260983.0
2014-03-12,9175730681.0
2014-03-13,9170055466.0
2014-03-14,8999518819.0
2014-03-15,9098742277.0
2014-03-16,8932663705.0
2014-03-17,8782446650.0
2014-03-18,8702593689.0
2014-03-19,8692840446.0
2014-03-20,8408969881.0
2014-03-21,8273676445.0
2014-03-22,8000260035.0
2014-03-23,8070660251.0
2014-03-24,8123975002.0
2014-03-25,8262364453.0
2014-03-26,8224443981.0
2014-03-27,7949302653.0
2014-03-28,7069668867.0
2014-03-29,8029222085.0
2014-03-30,7157524140.0
2014-03-31,7080284651.0
2014-04-01,7352351086.0
2014-04-02,6697640702.0
2014-04-03,6739046457.0
2014-04-04,7041795885.0
2014-04-05,7245679062.0
2014-04-06,7106781660.0
2014-04-07,7088811866.0
2014-04-08,7173916407.0
2014-04-09,6871913774.0
2014-04-10,5681788168.0
2014-04-11,6405850495.0
2014-04-12,6436565342.0
2014-04-13,6350505288.0
2014-04-14,7061290317.0
2014-04-15,7834863917.0
2014-04-16,7832442215.0
2014-04-17,7604960825.0
2014-04-18,7284947427.0
2014-04-19,7553525944.0
2014-04-20,7480384324.0
2014-04-21,7632867030.0
2014-04-22,7474331668.0
2014-04-23,7443201920.0
2014-04-24,7643233743.0
2014-04-25,7009651106.0
2014-04-26,6836938651.0
2014-04-27,6478523362.0
2014-04-28,6667746887.0
2014-04-29,6245216902.0
2014-04-30,6704999838.0
2014-05-01,6894980058.0
2014-05-02,6702197066.0
2014-05-03,6570686512.0
2014-05-04,6521911272.0
2014-05-05,6529192595.0
2014-05-06,6404403859.0
2014-05-07,6473901794.0
2014-05-08,6665985831.0
2014-05-09,6747721647.0
2014-05-10,6819357909.0
2014-05-11,6563703902.0
2014-05-12,6652298315.0
2014-05-13,6644717618.0
2014-05-14,6693269250.0
2014-05-15,6707366535.0
2014-05-16,6837268183.0
2014-05-17,6861820562.0
2014-05-18,6816206288.0
2014-05-19,6804410661.0
2014-05-20,7382844051.0
2014-05-21,7434415327.0
2014-05-22,7895312234.0
2014-05-23,7866138956.0
2014-05-24,7980309711.0
2014-05-25,8674004138.0
2014-05-26,8922331196.0
2014-05-27,8642194091.0
2014-05-28,8752574011.0
2014-05-29,8534360949.0
2014-05-30,9226455106.0
2014-05-31,9447775297.0
2014-06-01,9376448558.0
2014-06-02,9803894050.0
2014-06-03,10006575076.0
2014-06-04,8905633802.0
2014-06-05,9794615819.0
2014-06-06,9653191320.0
2014-06-07,9988085215.0
2014-06-08,9735003520.0
2014-06-09,9706798315.452682
2014-06-10,9993681321.334915
2014-06-11,9433631347.708822
2014-06-12,8506045328.054611
2014-06-13,8925496727.761688
2014-06-14,8517582648.538197
2014-06-15,8725911362.527994
2014-06-16,8872457054.275627
2014-06-17,8996032140.500378
2014-06-18,8942783535.435638
2014-06-19,8825204486.024824
2014-06-20,8869664385.138855
2014-06-21,8787861397.688387
2014-06-22,8854847122.61662
2014-06-23,8617319934.788471
2014-06-24,8480993824.923674
2014-06-25,8194371747.269808
2014-06-26,8385569720.633507
2014-06-27,8569476382.152375
2014-06-28,8494569723.090268
2014-06-29,8334836538.02216
2014-06-30,9025562070.474195
2014-07-01,9172687367.272493
2014-07-02,9147501502.025251
2014-07-03,9103965659.94397
2014-07-04,8896885434.442299
2014-07-05,8660108588.036095
2014-07-06,8937086319.834547
2014-07-07,8790826577.7212
2014-07-08,8581856699.091543
2014-07-09,8585760450.241461
2014-07-10,8516643590.574102
2014-07-11,8725232864.171787
2014-07-12,8787509323.092192
2014-07-13,8709109857.914333
2014-07-14,8579097230.999829
2014-07-15,8584945250.028112
2014-07-16,8510570780.077715
2014-07-17,8645646578.588608
2014-07-18,8758880868.719955
2014-07-19,8739796574.46067
2014-07-20,8663039286.282953
2014-07-21,8679681491.575861
2014-07-22,8657042904.462112
2014-07-23,8644229442.172844
2014-07-24,8376458452.519212
2014-07-25,8383840585.540691
2014-07-26,8288991450.163783
2014-07-27,8249903719.914468
2014-07-28,8173254586.888049
2014-07-29,8131203225.090741
2014-07-30,7816287636.126855
2014-07-31,8140456540.3987
2014-08-01,8293716012.013042
2014-08-02,8237988225.864705
2014-08-03,8199177844.597725
2014-08-04,8198154416.44455
2014-08-05,8137459094.058851
2014-08-06,8151536766.014559
2014-08-07,8203601756.929727
2014-08-08,8251258554.943953
2014-08-09,8205227852.192215
2014-08-10,8202694533.626713
2014-08-11,7972071014.017522
2014-08-12,7878732962.365965
2014-08-13,7540818755.870669
2014-08-14,7010564927.061737
2014-08-15,6860688927.4687605
2014-08-16,7238089028.385397
2014-08-17,6863377153.013021
2014-08-18,6368563793.532236
2014-08-19,6748793502.504919
2014-08-20,7193892900.010955
2014-08-21,7231593464.664535
2014-08-22,7234277626.608321
2014-08-23,6954320149.524623
2014-08-24,7139943307.809563
2014-08-25,7067336724.659853
2014-08-26,7304256001.47466
2014-08-27,7296175986.367384
2014-08-28,7236874754.814493
2014-08-29,7244182396.706602
2014-08-30,7164399438.144186
2014-08-31,6860475510.057145
2014-09-01,6799219715.763655
2014-09-02,6774955273.677611
2014-09-03,6797336065.276911
2014-09-04,7015926759.77685
2014-09-05,6895819947.415768
2014-09-06,6931807170.435608
2014-09-07,6911260346.833012
2014-09-08,6791673517.578636
2014-09-09,6802698157.907285
2014-09-10,6897289864.136927
2014-09-11,6896752261.025669
2014-09-12,6859918897.064683
2014-09-13,6902617282.927909
2014-09-14,6900941102.958462
2014-09-15,6864669556.826551
2014-09-16,6731691154.833496
2014-09-17,6641427084.796674
2014-09-18,6211661242.395519
2014-09-19,5766923835.113718
2014-09-20,5980533419.959366
2014-09-21,5804758838.123791
2014-09-22,5838937702.836576
2014-09-23,6338710258.681953
2014-09-24,6165470557.467545
2014-09-25,5984956490.8410635
2014-09-26,5928028217.035812
2014-09-27,5860478420.369484
2014-09-28,5565577974.395875
2014-09-29,5507663329.887923
2014-09-30,5714895288.777052
2014-10-01,5621611954.5139885
2014-10-02,5497921986.177339
2014-10-03,5281945577.583533
2014-10-04,4879116244.721532
2014-10-05,4833469233.948817
2014-10-06,4895087038.731414
2014-10-07,4938836115.534896
2014-10-08,5237183818.102052
2014-10-09,5311338248.217582
2014-10-10,5287577830.963928
2014-10-11,5316242885.064812
2014-10-12,5525493344.607267
2014-10-13,5700905979.741722
2014-10-14,5866129881.532052
2014-10-15,5775665102.481195
2014-10-16,5596882378.318785
2014-10-17,5615176527.846756
2014-10-18,5743548961.5136595
2014-10-19,5708007861.049596
2014-10-20,5604213219.515205
2014-10-21,5652010099.502844
2014-10-22,5606289969.634324
2014-10-23,5273144269.326852
2014-10-24,5248699276.855304
2014-10-25,5133937595.526393
2014-10-26,5173195788.044555
2014-10-27,5167063237.053929
2014-10-28,5207039557.767256
2014-10-29,4942357430.535727
2014-10-30,5088316326.359292
2014-10-31,4986831200.741079
2014-11-01,4792569208.48146
2014-11-02,4800048623.91489
2014-11-03,4809423761.213139
2014-11-04,4866587322.124589
2014-11-05,5011151505.466727
2014-11-06,5151780658.825795
2014-11-07,5057805084.441302
2014-11-08,5111687945.768187
2014-11-09,5386458484.479761
2014-11-10,5387889972.412569
2014-11-11,5419404055.544732
2014-11-12,6169588233.162117
2014-11-13,6114310307.792159
2014-11-14,5843122901.314276
2014-11-15,5587415407.576793
2014-11-16,5738164506.122557
2014-11-17,5700656347.60303
2014-11-18,5555540281.650616
2014-11-19,5599205236.845834
2014-11-20,5306193826.786941
2014-11-21,5247581494.926213
2014-11-22,5309209728.116462
2014-11-23,5575104069.706184
2014-11-25,5683869973.877423
2014-11-26,5589190352.57587
2014-11-27,5762891895.985053
2014-11-28,5923315394.405284
2014-11-29,5870841095.08471
2014-11-30,5801993056.991794
2014-12-01,5888742489.395197
2014-12-02,5940797808.86293
2014-12-03,5852322277.989146
2014-12-04,5766695661.804076
2014-12-05,5898577917.382925
2014-12-06,5882797925.601606
2014-12-07,5911396532.226896
2014-12-08,5677957857.675155
2014-12-09,5571318291.270268
2014-12-10,5543577174.466587
2014-12-11,5554651333.876363
2014-12-12,5623797325.284648
2014-12-13,5590966297.654804
2014-12-14,5639049228.163473
2014-12-15,5587675191.656085
2014-12-17,5548001339.135144
2014-12-18,5465747700.087605
2014-12-20,5593734050.571901
2014-12-21,5377097208.455843
2014-12-22,5701618135.918536
2014-12-23,5685407363.9222145
2014-12-24,5490180326.176138
2014-12-25,5460820710.99445
2014-12-26,5642085481.167749
2014-12-27,5413884579.296356
2014-12-28,5442061460.647112
2014-12-29,5498266589.096023
2014-12-30,5453664932.498397
2014-12-31,5538840020.797433
2015-01-01,5466584315.512345
2015-01-02,5451223256.189383
2015-01-03,4937306929.742288
2015-01-04,4471233804.2088585
2015-01-05,4695188473.470569
2015-01-06,4884619648.64803
2015-01-07,5037238661.067414
2015-01-08,4871397508.663105
2015-01-09,4933677081.939135
2015-01-10,4664089193.526617
2015-01-11,4542714386.427013
2015-01-12,4559059917.00533
2015-01-13,3790715718.572878
2015-01-16,3592591932.751177
2015-01-17,3468489490.551545
2015-01-18,3604082746.478828
2015-01-19,3691754353.5455933
2015-01-20,3637220509.421557
2015-01-21,3848253479.769112
2015-01-22,3976167420.662245
2015-01-23,3981592724.1369667
2015-01-24,4212548236.231332
2015-01-25,4308403527.369834
2015-01-26,4524127537.506159
2015-01-27,4339128064.935086
2015-01-29,3916456737.4369006
2015-01-30,3855604995.723823
2015-01-31,3700358256.7336774
2015-02-01,3809687344.9247465
2015-02-02,3986653101.7963524
2015-02-03,3760332509.537942
2015-02-04,3763948816.232417
2015-02-05,3670927483.788418
2015-02-06,3793260387.4863076
2015-02-07,4224412940.9300513
2015-02-08,3783512253.881451
2015-02-09,3724840279.282867
2015-02-10,3722689334.7170987
2015-02-11,3706203651.586991
2015-02-12,3757606516.584458
2015-02-13,3973398887.2723374
2015-02-14,4322836265.257966
2015-02-15,3901302540.250353
2015-02-16,3945481683.0921974
2015-02-17,4116414675.268368
2015-02-18,3925181076.248092
2015-02-19,4009173190.333335
2015-02-20,4057218829.9995327
2015-02-21,4063559608.439599
2015-02-22,3916785065.915424
2015-02-23,3964207675.9492803
2015-02-24,3977105331.7839093
2015-02-25,3965880312.8292212
2015-02-26,3948091996.113898
2015-02-27,4207663784.594883
2015-02-28,4189045099.8304853
2015-03-01,4226058376.6031604
2015-03-02,4404696614.14311
2015-03-03,4501627977.797805
2015-03-04,4362076904.268557
2015-03-05,4437099865.786204
2015-03-06,4389531761.924787
2015-03-07,4591100706.69244
2015-03-08,4406961252.497803
2015-03-09,4648459868.333097
2015-03-10,4689178305.75985
2015-03-11,4706091510.963753
2015-03-12,4688492351.738224
2015-03-13,4604429441.3487015
2015-03-14,4529973563.094002
2015-03-15,4570109347.319845
2015-03-16,4651047171.044074
2015-03-17,4581751540.541055
2015-03-18,4134308209.759881
2015-03-19,4202386310.713122
2015-03-20,4215906518.250571
2015-03-21,4191353711.9992375
2015-03-22,4312384354.0387745
2015-03-23,4292699293.2198954
2015-03-24,3973070809.6047916
2015-03-25,3966177070.787079
2015-03-26,3975624855.8790164
2015-03-27,3978527742.3620567
2015-03-28,4048268744.6415925
2015-03-29,3894980070.8311467
2015-03-30,3960408347.42424
2015-03-31,3911732507.9841566
2015-04-01,3931170232.0617685
2015-04-02,4022879043.2417965
2015-04-03,4072416706.6285505
2015-04-04,4070944066.582297
2015-04-05,4150101018.14511
2015-04-06,4090534638.9710746
2015-04-07,4070447758.5159173
2015-04-08,3945039544.98372
2015-04-09,3914103094.7237787
2015-04-10,3770467099.7691693
2015-04-11,3791368294.0845613
2015-04-12,3788735643.9833875
2015-04-13,3604928762.787814
2015-04-14,3513412819.27277
2015-04-15,3580988112.7823234
2015-04-16,3658131061.827683
2015-04-17,3578788769.548771
2015-04-18,3585184375.7229342
2015-04-19,3576409503.6259375
2015-04-20,3603917144.2043858
2015-04-21,3759668700.084864
2015-04-22,3752657752.041577
2015-04-23,3774418835.9737616
2015-04-24,3713678044.2397423
2015-04-25,3637851879.7877064
2015-04-26,3515144994.6343694
2015-04-27,3665455203.5010524
2015-04-28,3615229582.4410405
2015-04-29,3629975807.1100283
2015-04-30,3785364737.4918537
2015-05-01,3735299346.107672
2015-05-02,3770875065.3483257
2015-05-03,3839362552.9984956
2015-05-04,3827193294.641519
2015-05-05,3777497085.4960012
2015-05-06,3685919067.8018456
2015-05-07,3781549741.5402822
2015-05-08,3882998710.242802
2015-05-09,3850407286.3973756
2015-05-10,3892482853.1074977
2015-05-11,3846046675.1753306
2015-05-12,3843977858.227213
2015-05-13,3747097704.57647
2015-05-14,3758761317.84351
2015-05-15,3766287117.9612393
2015-05-16,3752507443.3250375
2015-05-17,3741182452.5144987
2015-05-18,3671774383.4972987
2015-05-19,3697261551.423723
2015-05-20,3733938003.8122416
2015-05-21,3755075985.67711
2015-05-22,3873644942.2798443
2015-05-23,3854266437.686975
2015-05-24,3890553270.307062
2015-05-25,3836212188.3504877
2015-05-26,3836650221.1093216
2015-05-27,3843257422.2691717
2015-05-28,3883625115.4334426
2015-05-29,3915980828.9157753
2015-05-30,3836369072.392408
2015-05-31,3767965624.079381
2015-06-01,3651297268.5506983
2015-06-02,3702871783.8595314
2015-06-03,3700714039.1995363
2015-06-04,3677329530.526802
2015-06-05,3699290462.4967494
2015-06-06,3702833346.827254
2015-06-07,3673076391.5350018
2015-06-08,3758261996.9945407
2015-06-09,3770304007.368859
2015-06-10,3763359319.5097027
2015-06-11,3777615741.266334
2015-06-12,3783732057.9201384
2015-06-13,3822981046.7486496
2015-06-14,3847711403.0209064
2015-06-15,3915381957.8639245
2015-06-16,4174484807.123704
2015-06-17,4144385913.1163797
2015-06-18,4193923258.551615
2015-06-19,4130405571.010504
2015-06-20,4165990406.8237915
2015-06-21,4146092062.872827
2015-06-22,4203846739.3384876
2015-06-23,4152260697.5561385
2015-06-24,4102052946.9917793
2015-06-25,4136212230.0119715
2015-06-26,4145467591.997459
2015-06-27,4291662169.7622538
2015-06-28,4249746940.2160015
2015-06-29,4418099590.704282
2015-06-30,4508934979.616722
2015-07-01,4419643134.538607
2015-07-02,4380684525.173103
2015-07-03,4396872281.085113
2015-07-04,4462827589.280655
2015-07-05,4623841672.355505
2015-07-06,4609708763.161087
2015-07-07,4548867631.212492
2015-07-08,4647976345.097694
2015-07-09,4694753882.301616
2015-07-10,4790237939.374673
2015-07-11,4873094412.07888
2015-07-12,5190327152.33301
2015-07-13,4877331642.895923
2015-07-14,4814983729.138166
2015-07-15,4749237272.149596
2015-07-16,4603386716.168622
2015-07-17,4644626549.178432
2015-07-18,4595071498.1943
2015-07-19,4550685417.224216
2015-07-20,4621120800.039041
2015-07-21,4576610889.923334
2015-07-22,4595009329.489765
2015-07-23,4593621269.346092
2015-07-24,4821588250.349419
2015-07-25,4827815486.243488
2015-07-26,4884123667.210867
2015-07-27,4911408009.818993
2015-07-28,4947418728.656095
2015-07-29,4856872337.967648
2015-07-30,4821106740.757952
2015-07-31,5060129531.3618355
2015-08-01,4701002707.613854
2015-08-02,4711849065.251723
2015-08-03,4790050781.939645
2015-08-04,4758286632.102984
2015-08-05,4713910494.082194
2015-08-06,4645025943.38291
2015-08-07,4661340239.229521
2015-08-08,4458222879.973708
2015-08-09,4453009707.405478
2015-08-10,4496843064.867527
2015-08-11,4619965757.667415
2015-08-12,4586332402.329823
2015-08-13,4545787312.282951
2015-08-14,4582360756.881951
2015-08-15,4501610862.136005
2015-08-16,4443650795.132601
2015-08-17,4429289127.871148
2015-08-18,4368729901.95759
2015-08-19,3921713960.6350017
2015-08-20,4097659027.531565
2015-08-21,4045665989.642089
2015-08-22,4040506117.4944077
2015-08-23,3944686958.8015685
2015-08-24,3711256048.669918
2015-08-25,3816091217.751562
2015-08-26,3885035440.8521185
2015-08-27,3847412164.762476
2015-08-28,3988574544.8263597
2015-08-29,3944403562.1619453
2015-08-30,3958994479.899185
2015-08-31,3986773217.1141467
2015-09-01,3941361740.0520144
2015-09-02,3951545536.9945273
2015-09-03,3902188430.7648683
2015-09-04,3957041452.8347387
2015-09-05,4066403281.116862
2015-09-06,4137980935.7243905
2015-09-07,4158489145.732903
2015-09-08,4199644407.486536
2015-09-09,4101184263.564337
2015-09-10,4111188820.327035
2015-09-11,4143045146.1443586
2015-09-12,4055350687.290728
2015-09-13,4045001375.976571
2015-09-14,3948248649.287279
2015-09-15,3976801326.0328608
2015-09-16,3926669906.704585
2015-09-17,3993582872.096451
2015-09-18,3998517060.771187
2015-09-19,3975378920.28102
2015-09-20,3976589401.940759
2015-09-21,3897922857.9152246
2015-09-22,3946947536.9496675
2015-09-23,3931437852.5306726
2015-09-24,3991687441.913094
2015-09-25,3999664277.1785316
2015-09-26,3993354139.1346035
2015-09-27,3963207960.9236407
2015-09-28,4050984078.444189
2015-09-29,3998275495.63214
2015-09-30,3985075673.1984777
2015-10-01,4005287684.823895
2015-10-02,4010333841.8054385
2015-10-03,4026623885.590518
2015-10-04,4009641756.3082347
2015-10-05,4022815393.771453
2015-10-06,4135191877.10817
2015-10-07,4089365341.7140727
2015-10-08,4081104099.856907
2015-10-09,4106420517.399005
2015-10-10,4107054309.5134835
2015-10-11,4143555071.376604
2015-10-12,4112527519.233746
2015-10-13,4171560154.811189
2015-10-14,4228570527.1610255
2015-10-15,4250196748.371928
2015-10-16,4362492752.775365
2015-10-17,4471562543.53966
2015-10-18,4339805132.172323
2015-10-19,4372613752.495814
2015-10-20,4450481079.671443
2015-10-21,4397818062.27136
2015-10-22,4508340048.010127
2015-10-23,4562951671.674145
2015-10-24,4650191965.541289
2015-10-25,4678224785.784068
2015-10-26,4696837470.662226
2015-10-27,4848053037.920556
2015-10-28,4994125638.5313225
2015-10-29,5200786215.641639
2015-10-30,5384585716.862744
2015-10-31,5147427317.581228
2015-11-01,5370640413.766822
2015-11-02,5773956242.878803
2015-11-03,6512611447.281285
2015-11-04,6551151235.349296
2015-11-05,6275336399.530763
2015-11-06,6046448632.035754
2015-11-07,6270636678.483473
2015-11-08,6035303307.301636
2015-11-09,6165408546.310401
2015-11-10,5487931761.855021
2015-11-11,5001756606.841265
2015-11-12,5521523366.887734
2015-11-13,5509211287.466817
2015-11-14,5423144292.428585
2015-11-15,5248393007.875184
2015-11-16,5409333592.02281
2015-11-17,5559409319.831339
2015-11-18,5486218635.687292
2015-11-19,5328810430.424628
2015-11-20,5258454547.43798
2015-11-21,5324166231.378704
2015-11-22,5296396734.3264675
2015-11-23,5289658517.259559
2015-11-24,5244049414.431692
2015-11-25,5378348964.886256
2015-11-26,5817491230.388902
2015-11-27,5854046444.837122
2015-11-28,5815712789.203687
2015-11-29,6055005533.256347
2015-11-30,6151393815.748076
2015-12-01,5916216467.5710745
2015-12-02,5842271572.760177
2015-12-03,5882031946.104438
2015-12-04,5930102984.513364
2015-12-05,6378797968.384004
2015-12-06,6432185733.09823
2015-12-07,6445337596.203585
2015-12-08,6775657307.028814
2015-12-09,6903912860.639616
2015-12-10,6902787115.112467
2015-12-11,7450973019.098753
2015-12-12,7183726376.8196535
